"time","action","from","to","note"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\README_Installation_Guide.md","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Navi_KB_05_Templates_and_Routing.md","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\We are in  Production.txt","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\urgent_ceo_meeting.txt","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_01312024_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_01312024_0001.pdf","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_02122023_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_02122023_0001.pdf","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10162025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10162025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_11012025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_11012025_0001.pdf","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Receipt_04012025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Receipt_04012025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10282025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10282025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_09052025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_09052025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_11162025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_11162025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_09172025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_09172025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10062025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10062025_0001.pdf","mailroom_review"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_09252025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_09252025_0001.pdf","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Xfinity Recipt.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Xfinity Recipt.pdf","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Progresive Ins.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Progresive Ins.pdf","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\DONE\debug.log","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\DONE\debug.log","archive"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_office_boxes\OfficeBox_001_meta.json","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\_office_boxes\OfficeBox_001_meta.json","archive_officebox"
"12/22/2025 8:41:12 PM","moved","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_office_boxes\OfficeBox_001_files_index.json","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\_office_boxes\OfficeBox_001_files_index.json","archive_officebox"
