"filename","size","lastWrite","source","destDir","planned_dest","note"
"Bill_09052025_0001.pdf","186228","11/16/2025 1:16:31 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_09052025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_09052025_0001.pdf","mailroom_review"
"Bill_10282025_0001.pdf","382673","11/16/2025 1:17:43 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10282025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10282025_0001.pdf","mailroom_review"
"Receipt_04012025_0001.pdf","325316","11/16/2025 1:20:29 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Receipt_04012025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Receipt_04012025_0001.pdf","mailroom_review"
"Bill_10162025_0001.pdf","217167","11/16/2025 1:21:36 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10162025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10162025_0001.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365444388.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365444388.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365444388.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365475812.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365475812.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365475812.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365494210.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365494210.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365494210.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365504738.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365504738.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365504738.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365511135.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365511135.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365511135.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365519369.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365519369.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365519369.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766368270874.pdf","24","12/21/2025 6:51:10 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766368270874.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766368270874.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766368600469.pdf","24","12/21/2025 6:56:40 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766368600469.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766368600469.pdf","mailroom_review"
